date,block,block_hash,block_time,vault,vault_address,numeraire,reported,par,feeds,par_bps,feeds_bps,reported_age_seconds,main_reported_age_seconds,feed_ages_seconds,reported_sources,valuation_sources,feed_sources,main_reported_sources,assumptions,limitations,acquisition_mode,run_path
"2026-09-18","26007835","0x7435eaf9bb2b5514db2de550d3a9812adae24277af81c095aec065ac485b9f23","2026-09-18T23:59:59Z","glPRIME","0xc4C7Ea9af473046559F0492bbBa186A2E043fe94","USDC","1.010961","1.010357","1.010357","-5.97","-5.97","360","","{}","[""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]}","{}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion.""]}","live","2026-09-18/glPRIME/attempt-436a25995274495690c7138e0a2bfbde/glPRIME-26007835"
"2026-09-19","26014997","0xcb42f78cf93b936a2857077acf54a5572f7dee44350367e0f8a3ada0ee29551e","2026-09-19T23:59:59Z","glPRIME","0xc4C7Ea9af473046559F0492bbBa186A2E043fe94","USDC","1.011151","1.010561","1.010561","-5.83","-5.83","2808","","{}","[""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]}","{}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion.""]}","live","2026-09-19/glPRIME/attempt-a8ca4e0e6cd142cea1877fd91cb479f8/glPRIME-26014997"
"2026-09-20","26022169","0xb556e516e2fe46c68ffa118289105bff058d15648f6f8525fe2ac8a9ac9c5bab","2026-09-20T23:59:59Z","glPRIME","0xc4C7Ea9af473046559F0492bbBa186A2E043fe94","USDC","1.011370","1.010764","1.010764","-5.99","-5.99","1560","","{}","[""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]}","{}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion.""]}","live","2026-09-20/glPRIME/attempt-8ef489506c9f47ed89f69af950f8ee10/glPRIME-26022169"
"2026-09-21","26029315","0x065f2c6e83a394e43d5d044d5318a644db87f62f654156dd7e950817e17ad711","2026-09-21T23:59:59Z","glPRIME","0xc4C7Ea9af473046559F0492bbBa186A2E043fe94","USDC","1.011576","1.010972","1.010972","-5.97","-5.97","276","","{}","[""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015""]}","{}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion.""]}","live","2026-09-21/glPRIME/attempt-6385d4d32bc349c8b0c180f7dddd35a8/glPRIME-26029315"
