date,block,block_hash,block_time,vault,vault_address,numeraire,reported,par,feeds,par_bps,feeds_bps,reported_age_seconds,main_reported_age_seconds,feed_ages_seconds,reported_sources,valuation_sources,feed_sources,main_reported_sources,assumptions,limitations,acquisition_mode,run_path
"2026-09-18","26007835","0x7435eaf9bb2b5514db2de550d3a9812adae24277af81c095aec065ac485b9f23","2026-09-18T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.002616","1.002008","1.002392","-6.06","-2.23","624","","{""USDS"":""44400"",""USDT"":""15684""}","[""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-18/gtUSDhy/attempt-cd5f2057c4a2454c8aca7e832193bbf3/gtUSDhy-26007835"
"2026-09-19","26014997","0xcb42f78cf93b936a2857077acf54a5572f7dee44350367e0f8a3ada0ee29551e","2026-09-19T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.002862","1.002184","1.002449","-6.76","-4.12","3240","","{""USDS"":""47976"",""USDT"":""15660""}","[""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-19/gtUSDhy/attempt-246797124ea144c892105928efcf64a5/gtUSDhy-26014997"
"2026-09-20","26022169","0xb556e516e2fe46c68ffa118289105bff058d15648f6f8525fe2ac8a9ac9c5bab","2026-09-20T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.002945","1.002359","1.002364","-5.84","-5.79","1932","","{""USDS"":""51552"",""USDT"":""15624""}","[""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-20/gtUSDhy/attempt-68f5dea30df54206ab47873a7d208b68/gtUSDhy-26022169"
"2026-09-21","26029315","0x065f2c6e83a394e43d5d044d5318a644db87f62f654156dd7e950817e17ad711","2026-09-21T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.002951","1.002526","1.002379","-4.24","-5.70","516","","{""USDS"":""55128"",""USDT"":""15600""}","[""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-21/gtUSDhy/attempt-12746bd036484bdc937655982151287c/gtUSDhy-26029315"
"2026-09-22","26036463","0x90c9091979457d268afed15d3cf334ed6079e70d4fbec1291a98a313f57c91dc","2026-09-22T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.003196","1.002925","1.003009","-2.70","-1.86","2184","","{""USDS"":""58716"",""USDT"":""34140""}","[""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053"",""call-0054""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-22/gtUSDhy/attempt-dbc0be736df54c81865509eb705a7126/gtUSDhy-26036463"
"2026-09-23","26043610","0xbd28e7ee4e2d775b0b083daa61386acad8ecb4b85a9462cd2b306ce68fbf0e88","2026-09-23T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.003380","1.003102","1.003040","-2.77","-3.39","528","","{""USDS"":""62304"",""USDT"":""34092""}","[""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-23/gtUSDhy/attempt-7727f8e9cce449f0ae9de772bcdbada7/gtUSDhy-26043610"
"2026-09-24","26050748","0x1d7b814c6ba082c73ca37825ba61db84d02984f1f767b114fddecd55456ba269","2026-09-24T23:59:59Z","gtUSDhy","0x15218Fbb0Efc0A3D5D731a242d853fa625532C3D","USDC","1.003527","1.003249","1.003218","-2.77","-3.08","2916","","{""USDS"":""65880"",""USDT"":""34080""}","[""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037"",""call-0038"",""call-0039"",""call-0040"",""call-0041"",""call-0042"",""call-0043"",""call-0044"",""call-0045"",""call-0046"",""call-0047"",""call-0048"",""call-0049"",""call-0050"",""call-0051"",""call-0052"",""call-0053""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC: USDC/USD is unsourced; USDC is valued at par in both valuations. The numeraire conversion assumes one USD per USDC, with no measured feed age."",""Oracle price() has no update timestamp; displayed feed ages describe valuation feeds only."",""Borrow APY is an integer display approximation. Leverage and sensitivity cover direct holdings and borrowings; underlying risk is reported separately."",""Morpho amounts are aggregated by component and asset before conversion. Holding values allocate each cumulative rounding difference in registry order; held vault units are floored before numeraire conversion."",""glPRIME: wYLDS: wYLDS has no sourced feed and is valued at par in both valuations. Its value is an off-chain claim the tool cannot see.""]}","live","2026-09-24/gtUSDhy/attempt-16187834d59648538a39037cedbedc75/gtUSDhy-26050748"
